movie_title,year,place,star_cast,rating,vote,link
M - Eine Stadt sucht einen Mörder,1931,94,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.265039921347565,,/title/tt0022100/
Dangal,2016,95,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.263953193888234,,/title/tt5074352/
Eternal Sunshine of the Spotless Mind,2004,96,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.259403009878598,,/title/tt0338013/
Jagten,2012,97,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.257319450042852,,/title/tt2106476/
Citizen Kane,1941,98,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.256030744372934,,/title/tt0033467/
Full Metal Jacket,1987,99,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.250229962803106,,/title/tt0093058/
 Ladri di biciclette,1948,10,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.248638715524368,,/title/tt0040522/
North by Northwest,1959,101,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.247164402100129,,/title/tt0053125/
A Clockwork Orange,1971,102,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.247101126615625,,/title/tt0066921/
The Kid,1921,103,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.246912776109811,,/title/tt0012349/
Snatch,2000,104,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.245377307303622,,/title/tt0208092/
Singin' in the Rain,1952,105,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.244148044579868,,/title/tt0045152/
Scarface,1983,106,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.242694901901121,,/title/tt0086250/
Taxi Driver,1976,107,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.239882881282236,,/title/tt0075314/
Amélie,2001,108,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.235500568259909,,/title/tt0211915/
Lawrence of Arabia,1962,109,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.235134978932432,,/title/tt0056172/
Toy Story 3,2010,110,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.234232065469481,,/title/tt0435761/
The Sting,1973,111,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.233882965311333,,/title/tt0070735/
Ikiru,1952,112,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.233375267511553,,/title/tt0044741/
Metropolis,1927,113,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.231067149122367,,/title/tt0017136/
Jodaeiye Nader az Simin,2011,114,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.230334504736048,,/title/tt1832382/
Per qualche dollaro in più,1965,115,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.228777423176366,,/title/tt0059578/
Incendies,2010,116,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.22353634486721,,/title/tt1255953/
The Apartment,1960,117,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.222257581347215,,/title/tt0053604/
Double Indemnity,1944,118,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.22170550560051,,/title/tt0036775/
To Kill a Mockingbird,1962,119,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.216692879077465,,/title/tt0056592/
Indiana Jones and the Last Crusade,1989,120,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.211995512805519,,/title/tt0097576/
Anand,1971,121,"Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan",8.211772116357945,,/title/tt0066763/
